dark_ratio,edge_density,center_dark,contrast,yawn_score,predicted,actual
0.00390625,0.333984375,0.0,31.67558007194639,0.04738273360664565,0,0
0.0,0.076904296875,0.0,26.554427179024053,0.01810393054201924,0,0
0.134765625,0.34130859375,0.06076388888888889,39.69478509076217,0.12790924731908973,1,0
0.013671875,0.360107421875,0.012152777777777778,35.99699235312998,0.06045707088807385,0,0
0.004638671875,0.26318359375,0.005208333333333333,20.01250040738155,0.03810520083377708,0,0
0.0,0.21435546875,0.0,30.0969261709655,0.033238263020476666,0,0
0.00537109375,0.1669921875,0.0,41.32083442576178,0.03505190504441638,0,0
0.00537109375,0.1669921875,0.0,41.32083442576178,0.03505190504441638,0,0
0.0205078125,0.279541015625,0.036458333333333336,45.140771439771314,0.06844282320554758,0,0
0.00439453125,0.31005859375,0.029513888888888888,23.379390671379312,0.053737615929135674,0,0
0.00537109375,0.331298828125,0.036458333333333336,24.588153977998452,0.059504066970538616,0,0
0.016845703125,0.370849609375,0.001736111111111111,28.950148189079755,0.05587068592177965,0,0
0.0,0.083251953125,0.0,28.884070725258574,0.019652281871424933,0,0
0.0205078125,0.331787109375,0.0,28.69528297009443,0.05263488808263507,0,0
0.033447265625,0.364990234375,0.0,33.70894352219553,0.06309712322561589,0,0
0.005126953125,0.328857421875,0.0,27.891211143980843,0.04587425329788465,0,0
0.008544921875,0.349365234375,0.006944444444444444,28.804391009483794,0.05242810957684005,0,0
0.01171875,0.347900390625,0.022569444444444444,27.68131758745581,0.059360735502025155,0,0
0.003662109375,0.30908203125,0.005208333333333333,20.847614073143347,0.04263191513897779,0,0
0.003173828125,0.320556640625,0.0,19.762983762356384,0.041075385023227995,0,0
0.0068359375,0.3330078125,0.03125,23.605663560729106,0.05779227921499181,0,0
0.001220703125,0.33203125,0.0,22.1080939578908,0.042361247017800314,0,0
0.0029296875,0.300048828125,0.013888888888888888,23.096576397699412,0.04578979430832984,0,0
0.00048828125,0.07666015625,0.0,26.183483020537523,0.01812936068207354,0,0
0.00830078125,0.32666015625,0.046875,21.58218488681705,0.06319993004139884,0,0
0.001953125,0.312255859375,0.0,21.299126688645583,0.04035943463892964,0,0
0.002197265625,0.273681640625,0.0,21.410802649428476,0.036643463508354304,0,0
0.083984375,0.3427734375,0.001736111111111111,31.941058360963904,0.08109144343403812,0,0
0.060302734375,0.3515625,0.0,33.768593610429306,0.07251992947958012,0,0
0.03173828125,0.332763671875,0.006944444444444444,32.98554470530757,0.061684965192849384,0,0
0.0224609375,0.3388671875,0.003472222222222222,28.341755098631904,0.05537439640305827,0,0
0.238525390625,0.36376953125,0.25,28.53089165854236,0.2429756943391343,1,0
0.10595703125,0.37548828125,0.11805555555555555,41.830142553561004,0.14355784031920696,1,0
0.001220703125,0.288818359375,0.008680555555555556,27.45473074627115,0.043608900486691304,0,0
0.00048828125,0.077392578125,0.0,27.104014051835065,0.01856359543086669,0,0
0.02294921875,0.241455078125,0.0954861111111111,41.07657926255036,0.08762810221284656,0,0
0.078857421875,0.320556640625,0.2725694444444444,51.543388623446,0.19283950416809975,1,0
0.098876953125,0.372314453125,0.022569444444444444,44.80152583919168,0.10337923015956862,0,0
0.0341796875,0.27490234375,0.109375,39.58318615392461,0.10043492747457829,0,0
0.013916015625,0.338623046875,0.008680555555555556,45.61833574862425,0.06079047659055527,0,0
0.232666015625,0.33984375,0.10416666666666667,47.9960495985922,0.18753942815140875,1,0
0.08203125,0.263671875,0.010416666666666666,45.965737633771695,0.08137213363089087,0,0
0.08203125,0.263671875,0.010416666666666666,45.965737633771695,0.08137213363089087,0,0
0.29931640625,0.276611328125,0.22569444444444445,51.97846019668671,0.2580491829713314,1,0
0.348388671875,0.330810546875,0.043402777777777776,42.21796361655327,0.20635369871196535,1,0
0.04833984375,0.346923828125,0.1892361111111111,46.71767371733645,0.14804342111668423,1,0
0.10595703125,0.332275390625,0.1875,58.47175642151068,0.1735404521199552,1,0
0.041259765625,0.30517578125,0.0,44.69124274686145,0.06454746192278882,0,0
0.192626953125,0.2939453125,0.2725694444444444,64.66368225463329,0.24083139704430065,1,0
0.731689453125,0.322021484375,0.4166666666666667,43.024588618508965,0.5084169840476996,1,0
0.131103515625,0.277587890625,0.21180555555555555,46.0373925055534,0.18297629694866477,1,0
0.01513671875,0.320068359375,0.0625,43.748446507120725,0.08021777696970421,0,0
0.045166015625,0.324462890625,0.11979166666666667,40.62627674664113,0.11436123521314358,1,0
0.045166015625,0.324462890625,0.11979166666666667,40.62627674664113,0.11436123521314358,1,0
0.063720703125,0.332763671875,0.0763888888888889,49.16195664441393,0.10859940267713947,0,0
0.0,0.095703125,0.0,30.149019486305395,0.021393457396590352,0,0
0.0009765625,0.29296875,0.0,27.620044383509523,0.04051888995431746,0,0
0.024169921875,0.3408203125,0.005208333333333333,41.86347285720987,0.06225038151263132,0,0
0.035400390625,0.1494140625,0.010416666666666666,35.88558101791742,0.0473410060364382,0,0
0.263671875,0.3310546875,0.3888888888888889,66.4679667377818,0.3201956436144896,1,0
0.0439453125,0.268310546875,0.1701388888888889,53.53214831414104,0.13345773458193438,1,0
0.59716796875,0.359375,0.5347222222222222,46.30113263722183,0.5068508833054465,1,0
0.0,0.1357421875,0.0,42.426164798672936,0.03021193043575409,0,0
0.03515625,0.316162109375,0.0763888888888889,53.1211045374096,0.09706607219400051,0,0
0.41357421875,0.287109375,0.2604166666666667,59.053390325174384,0.3214654839510488,1,0
0.026611328125,0.24853515625,0.0,52.98474347755055,0.05627637765051002,0,0
0.0,0.090576171875,0.0,28.359173245933984,0.02017886159767019,0,0
0.3212890625,0.3056640625,0.4288194444444444,57.71312039508463,0.35324240526114425,1,0
0.44287109375,0.266845703125,0.3506944444444444,60.69878766435648,0.3679142317331627,1,0
0.13037109375,0.267822265625,0.09027777777777778,51.182087496237095,0.13511318203488057,1,0
0.109130859375,0.346923828125,0.0954861111111111,54.94411862563969,0.13808588419346982,1,0
0.0146484375,0.35498046875,0.034722222222222224,33.4371896854155,0.06835893416993419,0,0
0.004150390625,0.327880859375,0.06770833333333333,38.38297384900966,0.07658372212828811,0,0
0.335205078125,0.328857421875,0.050347222222222224,49.650477674031364,0.2065774378848326,1,0
0.050537109375,0.32373046875,0.0,40.63920126433719,0.06852483229728909,0,0
0.02978515625,0.285888671875,0.0,26.591813403575188,0.050931091806549096,0,0
0.0,0.10009765625,0.0,26.774846586710417,0.020509705462925652,0,0
0.16845703125,0.337646484375,0.23958333333333334,37.04587229462175,0.21150858732754774,1,0
0.008056640625,0.095703125,0.04513888888888889,30.40818215824639,0.04277330162251493,0,0
0.018798828125,0.221923828125,0.06076388888888889,23.321704805047812,0.06316323620827038,0,0
0.0,0.274169921875,0.0,30.48595617545074,0.039372269119049313,0,0
0.129638671875,0.345458984375,0.171875,38.0409950545768,0.17006940446380464,1,0
0.005859375,0.21923828125,0.04513888888888889,33.571755892000716,0.055488528148006824,0,0
0.252197265625,0.31298828125,0.13541666666666666,34.8557379238838,0.2000133178745623,1,0
0.079833984375,0.270751953125,0.2881944444444444,41.28948227191713,0.19047852067240212,1,0
0.11328125,0.304931640625,0.034722222222222224,43.546439528298244,0.10677158806052546,0,0
0.034423828125,0.310302734375,0.11284722222222222,27.642964652771393,0.10077907187159336,0,0
0.0,0.098876953125,0.0,30.332015276902826,0.021782603264226597,0,0
0.019775390625,0.373291015625,0.026041666666666668,41.035670089591164,0.07174834412214359,0,0
0.01953125,0.2568359375,0.11284722222222222,21.031735768879408,0.0868827221560965,0,0
0.03369140625,0.33349609375,0.06944444444444445,50.363415064538145,0.09435430850161627,0,0
0.00732421875,0.362548828125,0.001736111111111111,33.55891739515261,0.05303937451974939,0,0
0.0439453125,0.255126953125,0.043402777777777776,30.40636941978472,0.07237599786274238,0,0
0.046142578125,0.33203125,0.1111111111111111,44.82966282980047,0.11368486062769953,1,0
0.015380859375,0.310546875,0.03298611111111111,33.290623905543896,0.06345662232406951,0,0
0.078369140625,0.353759765625,0.2673611111111111,46.004646374997904,0.19170911505106125,1,0
0.104248046875,0.332763671875,0.1875,46.98946205410464,0.16840282595871753,1,0
0.0341796875,0.283447265625,0.08159722222222222,44.483044359560346,0.09209982157278511,0,0
0.000244140625,0.1123046875,0.0,19.83078341026844,0.01910490280794841,0,0
0.0,0.10546875,0.0,28.6620027681152,0.021786876085535374,0,0
0.057373046875,0.254150390625,0.11284722222222222,55.190931338801455,0.11514664918719339,1,0
0.001953125,0.372802734375,0.008680555555555556,31.965205907838698,0.054069120525541324,0,0
0.0185546875,0.319580078125,0.05381944444444445,42.39322259004902,0.07753245376284604,0,0
0.1240234375,0.348876953125,0.003472222222222222,56.82967320898497,0.10817210555785359,0,0
0.08056640625,0.301513671875,0.1267361111111111,38.83831934434487,0.12830308760031497,1,0
